1562627960849,1,125
1562627960887,2,125
1562627960915,3,125
1562627960935,4,124
1562627960955,5,124
1562627960974,6,124
1562627960999,7,124
1562627961024,8,125
1562627961049,9,125
1562627961074,10,125
1562627961099,11,127
1562627961124,12,127
1562627961149,13,127
1562627961175,14,125
1562627961199,15,125
1562627961224,16,125
1562627961249,17,125
1562627961274,18,125
1562627961299,19,125
1562627961324,20,125
1562627961349,21,125
1562627961374,22,125
1562627961399,23,125
1562627961424,24,126
1562627961449,25,127
1562627961474,26,127
1562627961499,27,126
1562627961525,28,125
1562627961549,29,125
1562627961574,30,125
1562627961599,31,125
1562627961624,32,125
1562627961649,33,125
1562627961674,34,124
1562627961699,35,125
1562627961742,36,125
1562627961773,37,127
1562627961824,38,127
1562627961854,39,126
1562627961898,40,125
1562627961931,41,123
1562627961974,42,127
1562627962020,43,127
1562627962052,44,128
1562627962098,45,138
1562627962129,46,154
1562627962178,47,162
1562627962209,48,171
1562627962256,49,186
1562627962287,50,192
1562627962323,51,201
1562627962378,52,206
1562627962422,53,207
1562627962464,54,206
1562627962491,55,203
1562627962527,56,194
1562627962561,57,179
1562627962593,58,168
1562627962639,59,164
1562627962674,60,155
1562627962717,61,148
1562627962752,62,149
1562627962801,63,148
1562627962834,64,144
1562627962865,65,137
1562627962912,66,131
1562627962948,67,129
1562627962992,68,128
1562627963025,69,128
1562627963073,70,128
1562627963105,71,127
1562627963138,72,128
1562627963187,73,128
1562627963225,74,127
1562627963273,75,130
1562627963296,76,130
1562627963346,77,129
1562627963379,78,130
1562627963425,79,130
1562627963456,80,134
1562627963490,81,140
1562627963538,82,144
1562627963570,83,142
1562627963616,84,139
1562627963656,85,136
1562627963693,86,133
1562627963730,87,127
1562627963762,88,130
1562627963812,89,130
1562627963845,90,128
1562627963899,91,127
1562627963930,92,125
1562627963968,93,124
1562627964017,94,125
1562627964057,95,125
1562627964088,96,124
1562627964117,97,123
1562627964157,98,124
1562627964195,99,124
1562627964243,100,123
1562627964274,101,127
1562627964307,102,125
1562627964357,103,126
1562627964388,104,125
1562627964433,105,125
1562627964467,106,125
1562627964514,107,126
1562627964547,108,126
1562627964580,109,126
1562627964622,110,132
1562627964658,111,138
1562627964709,112,147
1562627964741,113,150
1562627964797,114,151
1562627964832,115,149
1562627964882,116,148
1562627964902,117,142
1562627964927,118,137
1562627964978,119,133
1562627965012,120,132
1562627965058,121,128
1562627965087,122,128
1562627965124,123,128
1562627965172,124,127
1562627965202,125,128
1562627965256,126,126
1562627965285,127,130
1562627965330,128,130
1562627965362,129,129
1562627965410,130,130
1562627965443,131,131
1562627965476,132,135
1562627965525,133,141
1562627965552,134,144
1562627965619,135,145
1562627965651,136,149
1562627965694,137,151
1562627965716,138,154
1562627965750,139,159
1562627965792,140,166
1562627965826,141,166
1562627965875,142,163
1562627965905,143,162
